,Gene
412,NEUROG2
413,NKX2-8
414,GPRIN2
415,KCNA5
416,SEMA3A
417,CCK
418,DNAH14
419,PDCD1
420,MTHFD1
421,EEF1G
422,XPR1
423,RASSF3
424,BARX2
425,NPM3
426,TBC1D30
427,HSPA1L
428,AOC3
429,SLC22A12
430,CPA4
431,PLSCR1
432,DAZAP2
433,ADRA2A
434,TGFB2
435,MAGEA4
436,GCN1
437,SLC5A2
438,FAM98A
439,MCM2
440,VEGFB
441,HYOU1
442,CDSN
443,MMACHC
444,GPR3
445,PSENEN
446,NPSR1
447,GRM7
448,RSPH9
449,ATG5
450,URB1
451,OLFM1
452,MUTYH
453,ESR1
454,MEF2A
455,PRRT2
456,SNAP47
457,LILRB2
458,TAP2
459,THYN1
460,HNRNPF
461,GDF9
462,SELL
463,AMIGO1
464,SLC5A5
465,SCAMP4
466,NCLN
467,GABRG1
468,TMEM164
469,KIF2A
470,ZFHX3
471,SOX2
472,TDO2
473,LUC7L
474,CENPB
475,NT5DC2
476,CCR9
477,SLC16A4
478,CELSR3
479,STAT3
480,PAX7
481,TNFRSF6B
482,PAWR
483,NEIL3
484,GDA
485,CD3E
486,LURAP1
487,PINK1
488,SNX10
489,XCR1
490,CDH7
491,PSKH1
492,PADI2
493,UBE2T
494,BARD1
495,NR3C1
496,CD86
497,SCFD2
498,CELSR1
499,CCDC57
500,PAX6
501,WARS
502,NPNT
503,SPECC1L
504,NIN
505,MX1
506,ACAA2
507,TMPRSS6
508,COL23A1
509,YWHAQ
510,AGTR2
511,MZF1
512,OSCP1
513,TGM2
514,TEKT1
515,ARF1
516,FBLN5
517,MYO1C
518,SLC6A17
519,TIMP4
520,NYX
521,BCL2L2
522,UGDH
523,ZHX3
524,SOS1
525,ATXN1L
526,NAA16
527,MSI1
528,PRSS16
529,TUBG1
530,SRD5A1
531,SPAG17
532,FCGR3A
533,TSSK3
534,GPR12
535,TEX14
536,CNR2
537,LARP4B
538,DHCR24
539,CALCRL
540,TCIM
541,HMGA2
542,ITIH5
543,TSPOAP1
544,MAT1A
545,SPECC1
546,ACAT1
547,PDGFRA
548,HSPA9
549,HMCN1
550,ENPP2
551,TBL2
552,MAP7
553,CDV3
554,ING1
555,MICAL2
556,ATXN3
557,WNT4
558,CYLD
559,AQP4
560,PZP
561,CPEB1
562,SIRT3
563,PDPK1
564,CD5L
565,SOD3
566,IL17D
567,RELN
568,GATA4
569,TERF2
570,SLC9A1
571,RUFY2
572,ZMYM1
573,HS3ST2
574,TSPAN9
575,RTL8C
576,KLRC1
577,DPT
578,MCPH1
579,ABCB4
580,SYCP1
581,PILRA
582,CD19
583,CYP17A1
584,ACSL4
585,FCER2
586,HDC
587,GRK2
588,POLR2C
589,CASP8
590,CH25H
591,YIPF1
592,PDIA3
593,TYMS
594,BCL2L1
595,CYBA
596,RFX2
597,P2RX3
598,PEPD
599,SMC1A
600,UBAP2
601,FERMT3
602,KCNT1
603,USP32
604,CD1A
605,GDF5
606,KCNK18
607,MYBBP1A
608,MVD
609,FCGR3B
610,MYOF
611,MAP1LC3B
612,LENG8
613,KLF5
614,CD276
615,RPA2
616,LIN28A
617,RSRC1
618,TP53BP2
619,RANBP9
620,COL18A1
621,IGFBP2
622,TMEM97
623,GRID1
624,INKA2
625,TRPA1
626,TOPBP1
627,LASP1
628,NBN
629,DLK2
630,IFI16
631,PMP22
632,CBFB
633,RBM12
634,HSPA6
635,PRRG2
636,IL2
637,NCOR2
638,CD22
639,MTNR1B
640,SYNGR3
641,CLOCK
642,FADS2
643,FKBP11
644,PNPLA2
645,KCTD11
646,FSHR
647,MAB21L2
648,DDX53
649,SART3
650,PPP1CA
651,CCDC62
652,THRA
653,NOS2
654,WDR5
655,NKAPL
656,PM20D1
657,TYMP
658,RARA
659,RNF128
660,NLRP11
661,GPR39
662,C1QTNF1
663,BMI1
664,CD99
665,CASP9
666,REL
667,SCNN1A
668,BMP2
669,MASP1
670,PIK3CB
671,PTGFR
672,ITM2A
673,MRFAP1L1
674,COLEC12
675,ZBTB10
676,PAH
677,OSR2
678,IRF7
679,TRAP1
680,CD33
681,EIF4EBP1
682,TOX
683,SPAG8
684,GABRB2
685,IFNL1
686,HRH3
687,TNFRSF17
688,GSTM3
689,RCC1
690,TWIST1
691,MAOB
692,POSTN
693,HEY1
694,TASOR
695,EHMT1
696,MYLIP
697,CASP3
698,TMEM109
699,CYREN
700,LEF1
701,GCM1
702,LAT
703,ADORA2A
704,ANKRD30A
705,TFEB
706,KLHL1
707,POU2AF1
708,MED12
709,ERCC1
710,TFE3
711,ERGIC2
712,KCNIP2
713,DUOX2
714,GHR
715,TNC
716,AFG1L
717,RGN
718,GBX2
719,DNAH7
720,KCNK10
721,VCL
722,MIPOL1
723,STK33
724,ST6GAL1
725,FCGBP
726,FOXF1
727,SLIT3
728,FOXO3
729,ZMYND10
730,DVL3
731,WNT3
732,ZBTB3
733,PKD1L1
734,HIPK3
735,IGF2BP3
736,CAMK2B
737,GORAB
738,IL19
739,TPTE
740,DNMT3A
741,NFATC3
742,SPON2
743,GDF2
744,CSF2
745,PREPL
746,OIT3
747,RMDN1
748,ABCB1
749,SULT2A1
750,AQP7
751,TRIM21
752,RBM34
753,WNT5B
754,IFNAR1
755,TNFRSF10A
756,AP1M1
757,MAN1A1
758,GRIA2
759,FBL
760,CST7
761,GATA1
762,PRAME
763,STMN3
764,SORL1
765,PRPF19
766,IDO1
767,APOL6
768,HNMT
769,IFNA1
770,CDCA2
771,SUGP2
772,ABI3
773,SLC4A1AP
774,USF1
775,DRD1
776,PPP2R1A
777,SERPINA3
778,ZBTB33
779,INO80D
780,MELTF
781,DPYSL2
782,RCOR3
783,TMUB2
784,LIG3
785,MUC1
786,GLP1R
787,TP53
788,KCNK15
789,PROS1
790,TRIM66
791,CA12
792,KIAA0408
793,ASTN2
794,FEV
795,PLIN4
796,CCR8
797,FASLG
798,PTK2
799,PARP11
800,FSIP1
801,CXCL10
802,DMXL2
803,DOCK9
804,GNAO1
805,NSUN2
806,MAP4
807,LRG1
808,TMBIM4
809,ZNF451
810,GNAI1
811,EZH1
812,IGF2R
813,SHC4
814,DYDC1
815,MYNN
816,CD58
817,EFS
818,PLTP
819,ERN1
820,STAU1
821,SCIMP
822,KCTD5
823,KLF4
824,MCM3
825,PMS2
826,GABRA3
827,XDH
828,TSC2
829,TBX15
830,KL
831,SAA4
832,HTR5A
833,PIP4K2A
834,NONO
835,CST2
836,FOXJ1
837,NTSR1
838,SRI
839,FLOT2
840,USP5
841,SLC6A4
842,CEP44
843,NEK6
844,AGO1
845,ITPKA
846,KCNMB1
847,SCN3A
848,CIITA
849,MYC
850,PPP4R1
851,OXER1
852,FGR
853,PTPN6
854,CTSA
855,EPHA3
856,CAPN3
857,GMEB2
858,VAMP3
859,DLL4
860,NAT10
861,DMKN
862,PRXL2A
863,PSMD2
864,PNMA2
865,ELAC1
866,SELP
867,OAS1
868,THY1
869,HDAC5
870,ARHGEF2
871,BCL7C
872,KCNK12
873,SLC3A2
874,ATP7B
875,PLEKHB2
876,FCRL4
877,MAP4K2
878,ATP5F1A
879,IL23R
880,LSG1
881,LTA4H
882,MAP3K1
883,CTSL
884,GLUD1
885,RNF43
886,FSCN1
887,CAMSAP2
888,KLRG1
889,IRF1
890,REN
891,CTDSPL
892,GBP5
893,PCNX3
894,RABL3
895,CRYZ
896,SKA3
897,DUOXA1
898,ELSPBP1
899,HIPK2
900,UMOD
901,SCGB1D1
902,FOXP1
903,PRKAA2
904,OSGIN2
905,CD79B
906,TMX1
907,DDX58
908,KMT2D
909,CDK6
910,TLR4
911,EFR3A
912,DSG1
913,ASCC2
914,MBL2
915,ASIC1
916,ABTB2
917,ZGRF1
918,VEGFD
919,BCL3
920,NQO1
921,DDB2
922,CYP2C8
923,FOSL1
924,STRN4
925,CD160
926,ABL2
927,TBC1D8B
928,CSNK1A1L
929,MAPK1
930,RAPGEF5
931,APOL1
932,LIPC
933,CAMK2D
934,PHF8
935,RBCK1
936,EMC4
937,JPH2
938,PLAGL2
939,DEPDC7
940,RNASE3
941,DTNBP1
942,HSPB8
943,NETO1
944,CUX2
945,HSPA8
946,CX3CL1
947,MYOD1
948,BMP6
949,MYO15A
950,DZIP1L
951,SMTN
952,JPH1
953,SOX10
954,PSME3
955,BRI3BP
956,CASP6
957,UCHL1
958,CLGN
959,ELAVL1
960,METRNL
961,NOM1
962,CD300A
963,GAL
964,RAD50
965,NPR1
966,B4GAT1
967,PIGF
968,ASXL1
969,IFNA7
970,ECEL1
971,IPO11
972,HMGB3
973,PIH1D1
974,TLK1
975,VAPB
976,FOXN1
977,PDZD7
978,MEGF10
979,NAP1L3
980,PHLDB2
981,SCN9A
982,DNMT1
983,SHLD1
984,PTCH1
985,MKI67
986,RHBDD1
987,FLCN
988,GJC1
989,ETV6
990,LRBA
991,ADGRG6
992,LRRC59
993,TREM2
994,TINAGL1
995,CDK5RAP1
996,CYP2C9
997,C1QTNF6
998,CLDN18
999,MASP2
1000,NUAK2
1001,MINDY2
1002,EPO
1003,SLC5A3
1004,CDKL1
1005,PSEN1
1006,OSBP2
1007,CNNM1
1008,CNR1
1009,RNF2
1010,NCBP3
1011,FLT3
1012,MFF
1013,PIN1
1014,SNAI1
1015,SRFBP1
