,Gene
0,ABL1
1,AKT3
2,BAX
3,BCL2
4,BID
5,CASP3
6,CD40
7,CDC6
8,CDKN1A
9,CREBBP
10,CSF1R
11,CXCR4
12,EP300
13,FAS
14,FYN
15,IGF1R
16,IKBKB
17,IL1B
18,JUN
19,KIT
20,MSH6
21,MYC
22,NFKBIA
23,NOTCH1
24,PCNA
25,PDGFRB
26,PPARG
27,SPP1
28,STAT1
29,STAT3
30,TLR4
31,TP53
