,Gene
412,LRRK2
413,PDPK1
414,CA10
415,FADS1
416,CADM4
417,CHRNA3
418,RILPL1
419,CELSR3
420,PDE3A
421,CD99
422,MPDZ
423,PHF6
424,ALDH3A2
425,NPAS4
426,ZNF280C
427,SEMA4B
428,WDR72
429,CPA4
430,ITPR1
431,SIGLEC1
432,PROC
433,TMEM123
434,LAMB3
435,SKP2
436,RAC1
437,ATXN1
438,CCRL2
439,PRR14L
440,OGFR
441,NEFM
442,SLC17A5
443,MAP3K20
444,DHODH
445,GSE1
446,CCDC77
447,NRN1
448,ENTPD2
449,DMPK
450,PDLIM2
451,GRK5
452,CD84
453,ATG2A
454,FAT1
455,IFI35
456,TBX2
457,EPAS1
458,ERGIC2
459,EXO1
460,MAGI1
461,SRD5A3
462,CNNM3
463,TRPS1
464,COL23A1
465,ZYG11B
466,CAV2
467,IL7
468,ZNF165
469,INSL4
470,ZBTB16
471,PTGER4
472,PSMD4
473,CYP2J2
474,ATIC
475,BMP8A
476,IL13RA2
477,OGT
478,AGR3
479,PCDHA1
480,SLC16A9
481,MASP1
482,CA14
483,CCR1
484,PEA15
485,KCNK17
486,HSPG2
487,CCR8
488,PKD2
489,TNFRSF18
490,RXFP1
491,MCCC1
492,GATA3
493,IL26
494,DLK2
495,NPSR1
496,F13A1
497,TNFRSF14
498,SNAI1
499,CDK1
500,ANXA5
501,MMP12
502,RFTN1
503,CENPV
504,IGF2BP1
505,TXK
506,GHITM
507,KCTD9
508,ELFN1
509,CD6
510,RPA2
511,CCBE1
512,BCAR1
513,DLG4
514,GAS6
515,LSG1
516,TNF
517,ADGRD1
518,EIF2AK4
519,ITGAX
520,TGM1
521,GDA
522,THPO
523,TRIB1
524,PLTP
525,HPS5
526,NCR3
527,DAPK1
528,OSGIN2
529,CRYBG1
530,UCHL1
531,ADAMTS19
532,SLC1A1
533,FHL3
534,PBLD
535,SMC3
536,BTK
537,GLS
538,ELK3
539,FAM107A
540,NUP62
541,RAB11FIP5
542,FOXP4
543,LGMN
544,ARRDC3
545,TMEM14C
546,MCHR2
547,PLA2G5
548,JUP
549,NEFH
550,PTPA
551,COLQ
552,ADORA2B
553,CTHRC1
554,PGAP2
555,SATB2
556,HNF1B
557,OLFML3
558,MMADHC
559,FMOD
